Date,Open,High,Low,Close,Volume
2024-01-02 09:00:00,49.374,49.52,49.374,49.472,22950.0
2024-01-02 09:01:00,49.485,49.485,49.483,49.483,7260.0
2024-01-02 09:02:00,49.525,49.525,49.495,49.522,10080.0
2024-01-02 09:03:00,49.528,49.528,49.528,49.528,3250.0
2024-01-02 09:04:00,49.528,49.528,49.528,49.528,3090.0
2024-01-02 09:05:00,49.5,49.535,49.483,49.535,15270.0
2024-01-02 09:06:00,49.5,49.5,49.5,49.5,6320.0
2024-01-02 09:07:00,49.483,49.497,49.483,49.497,8440.0
2024-01-02 09:09:00,49.521,49.521,49.521,49.521,2400.0
2024-01-02 09:11:00,49.521,49.521,49.521,49.521,8420.0
2024-01-02 09:14:00,49.522,49.522,49.521,49.521,8220.0
2024-01-02 09:17:00,49.497,49.497,49.497,49.497,2350.0
2024-01-02 09:21:00,49.488,49.488,49.488,49.488,4110.0
2024-01-02 09:25:00,49.5,49.5,49.5,49.5,5230.0
2024-01-02 09:26:00,49.5,49.5,49.5,49.5,2710.0
2024-01-02 09:31:00,49.511,49.511,49.511,49.511,2560.0
2024-01-02 09:32:00,49.51,49.51,49.51,49.51,2760.0
2024-01-02 09:35:00,49.5,49.5,49.5,49.5,5340.0
2024-01-02 09:37:00,49.485,49.485,49.485,49.485,6250.0
2024-01-02 09:40:00,49.425,49.425,49.425,49.425,5450.0
2024-01-02 09:41:00,49.445,49.445,49.445,49.445,7150.0
2024-01-02 09:45:00,49.495,49.5,49.495,49.5,5210.0
2024-01-02 09:48:00,49.5,49.5,49.5,49.5,10750.0
2024-01-02 09:52:00,49.446,49.446,49.446,49.446,3240.0
2024-01-02 09:57:00,49.496,49.496,49.496,49.496,2710.0
2024-01-02 09:59:00,49.483,49.483,49.483,49.483,2010.0
2024-01-02 10:00:00,49.5,49.5,49.5,49.5,16650.0
2024-01-02 10:03:00,49.497,49.497,49.497,49.497,2010.0
2024-01-02 10:07:00,49.5,49.5,49.5,49.5,5800.0
2024-01-02 10:09:00,49.499,49.499,49.499,49.499,1000.0
2024-01-02 10:12:00,49.499,49.5,49.475,49.475,10670.0
2024-01-02 10:14:00,49.466,49.466,49.455,49.455,7140.0
2024-01-02 10:21:00,49.451,49.451,49.451,49.451,2930.0
2024-01-02 10:24:00,49.45,49.45,49.45,49.45,7280.0
2024-01-02 10:25:00,49.445,49.445,49.428,49.428,5740.0
2024-01-02 10:28:00,49.4,49.4,49.38,49.38,23890.0
2024-01-02 10:32:00,49.4,49.4,49.4,49.4,1510.0
2024-01-02 10:35:00,49.421,49.421,49.421,49.421,6810.0
2024-01-02 10:44:00,49.455,49.455,49.455,49.455,4340.0
2024-01-02 10:52:00,49.4,49.4,49.4,49.4,7720.0
2024-01-02 10:56:00,49.4,49.42,49.4,49.42,4320.0
2024-01-02 10:57:00,49.42,49.42,49.4,49.4,4030.0
2024-01-02 10:58:00,49.381,49.381,49.381,49.381,5930.0
2024-01-02 11:00:00,49.376,49.376,49.376,49.376,2780.0
2024-01-02 11:02:00,49.381,49.381,49.381,49.381,6100.0
2024-01-02 11:06:00,49.35,49.352,49.345,49.345,7100.0
2024-01-02 11:07:00,49.333,49.333,49.333,49.333,3860.0
2024-01-02 11:08:00,49.311,49.311,49.311,49.311,28690.0
2024-01-02 11:12:00,49.301,49.301,49.301,49.301,7990.0
2024-01-02 11:13:00,49.3,49.3,49.257,49.258,28000.0
2024-01-02 11:14:00,49.25,49.25,49.25,49.25,5310.0
2024-01-02 11:15:00,49.222,49.222,49.222,49.222,5720.0
2024-01-02 11:17:00,49.134,49.134,49.125,49.125,16940.0
2024-01-02 11:19:00,49.074,49.074,49.074,49.074,12280.0
2024-01-02 11:20:00,49.098,49.098,49.078,49.084,15910.0
2024-01-02 11:21:00,49.08,49.094,49.08,49.094,7490.0
2024-01-02 11:22:00,49.079,49.08,49.079,49.08,19090.0
2024-01-02 11:24:00,49.002,49.002,49.0,49.0,16410.0
2024-01-02 11:25:00,49.011,49.011,48.994,48.994,18720.0
2024-01-02 11:27:00,48.96,48.96,48.921,48.921,32170.0
2024-01-02 11:28:00,48.9,48.9,48.87,48.889,33920.0
2024-01-02 11:29:00,48.867,48.867,48.867,48.867,19480.0
2024-01-02 11:30:00,48.85,48.85,48.85,48.85,7150.0
2024-01-02 11:31:00,48.85,48.85,48.85,48.85,8220.0
2024-01-02 11:32:00,48.865,48.877,48.865,48.872,21290.0
2024-01-02 11:33:00,48.889,48.9,48.889,48.9,16590.0
2024-01-02 11:34:00,48.881,48.881,48.88,48.88,70570.0
2024-01-02 11:35:00,48.85,48.85,48.83,48.83,13010.0
2024-01-02 11:36:00,48.859,48.859,48.859,48.859,8270.0
2024-01-02 11:37:00,48.855,48.87,48.855,48.87,10620.0
2024-01-02 11:38:00,48.88,48.88,48.861,48.88,14910.0
2024-01-02 11:39:00,48.882,48.918,48.882,48.888,17680.0
2024-01-02 11:40:00,48.918,48.918,48.908,48.918,19110.0
2024-01-02 11:41:00,48.89,48.89,48.89,48.89,24100.0
2024-01-02 11:42:00,48.89,48.89,48.89,48.89,3570.0
2024-01-02 11:43:00,48.89,48.902,48.89,48.892,19900.0
2024-01-02 11:44:00,48.924,48.934,48.924,48.934,21520.0
2024-01-02 11:46:00,48.95,48.95,48.95,48.95,3600.0
2024-01-02 11:47:00,48.949,48.949,48.949,48.949,3650.0
2024-01-02 11:49:00,48.934,48.934,48.934,48.934,5700.0
2024-01-02 11:50:00,48.925,48.925,48.911,48.911,15380.0
2024-01-02 11:51:00,48.931,48.931,48.915,48.915,15960.0
2024-01-02 11:52:00,48.934,48.934,48.934,48.934,5710.0
2024-01-02 11:54:00,48.951,48.951,48.95,48.95,8330.0
2024-01-02 11:55:00,48.969,48.969,48.969,48.969,3920.0
2024-01-02 11:56:00,48.97,48.98,48.97,48.98,12010.0
2024-01-02 11:58:00,48.985,48.985,48.985,48.985,3230.0
2024-01-02 11:59:00,48.985,48.985,48.985,48.985,2590.0
2024-01-02 12:00:00,48.999,49.02,48.99,49.02,110690.0
2024-01-02 12:01:00,49.013,49.025,49.012,49.015,30410.0
2024-01-02 12:02:00,49.03,49.03,49.025,49.025,22670.0
2024-01-02 12:03:00,49.039,49.039,49.039,49.039,11490.0
2024-01-02 12:04:00,49.022,49.022,49.0,49.0,54250.0
2024-01-02 12:05:00,49.01,49.01,49.0,49.0,29540.0
2024-01-02 12:06:00,48.985,49.0,48.975,48.975,32810.0
2024-01-02 12:07:00,48.965,49.008,48.965,49.0,20200.0
2024-01-02 12:08:00,49.0,49.0,49.0,49.0,8380.0
