Date,Open,High,Low,Close,Volume
2022-01-03 05:00:00,18.36,18.5687,17.86,18.53,34386628.0
2022-01-04 05:00:00,18.61,18.84,17.79,18.17,39643168.0
2022-01-05 05:00:00,18.03,18.5678,16.87,16.96,58220207.0
2022-01-06 05:00:00,16.87,17.18,16.055,16.74,49737071.0
2022-01-07 05:00:00,16.7,17.33,16.475,16.56,37989265.0
2022-01-10 05:00:00,16.19,16.57,15.35,16.5,74141930.0
2022-01-11 05:00:00,16.4,17.25,16.32,16.89,47410086.0
2022-01-12 05:00:00,17.16,17.46,16.4,16.72,39784185.0
2022-01-13 05:00:00,16.8,16.82,15.94,16.01,35492186.0
2022-01-14 05:00:00,15.94,16.2485,15.62,16.01,35424310.0
2022-01-18 05:00:00,15.45,15.75,14.9201,14.97,49275074.0
2022-01-19 05:00:00,14.9,15.25,14.54,14.56,48015566.0
2022-01-20 05:00:00,14.89,15.5499,14.57,14.62,44690391.0
2022-01-21 05:00:00,14.25,14.478,13.5,13.53,73031305.0
2022-01-24 05:00:00,12.79,13.41,11.75,13.4,110640165.0
2022-01-25 05:00:00,13.12,13.6,12.83,13.06,47456624.0
2022-01-26 05:00:00,13.6,13.82,12.68,12.75,69949711.0
2022-01-27 05:00:00,13.01,13.06,12.2,12.28,52622863.0
2022-01-28 05:00:00,12.3,12.88,11.89,12.71,54887541.0
2022-01-31 05:00:00,12.77,13.74,12.76,13.71,51039253.0
2022-02-01 05:00:00,14.23,14.37,13.56,14.2,69012946.0
2022-02-02 05:00:00,14.09,14.2,13.19,13.32,47183312.0
2022-02-03 05:00:00,12.95,13.32,12.42,12.45,47171335.0
2022-02-04 05:00:00,12.47,13.09,12.265,12.94,38951576.0
2022-02-07 05:00:00,13.025,13.6,12.94,12.98,45646074.0
2022-02-08 05:00:00,12.75,13.1885,12.62,13.15,30065109.0
2022-02-09 05:00:00,13.29,13.89,13.26,13.87,34451922.0
2022-02-10 05:00:00,13.5,14.165,13.37,13.56,41998243.0
2022-02-11 05:00:00,13.45,13.92,12.97,13.13,41831569.0
2022-02-14 05:00:00,13.1,13.795,12.98,13.26,40617850.0
2022-02-15 05:00:00,13.52,14.185,13.41,14.17,48523679.0
2022-02-16 05:00:00,13.91,14.26,13.66,13.97,58624449.0
